# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# Truncated to entries with >= 100 occurrences: 18,749 of 251,898. The full list is written next to
# this file as *_full.txt and is not committed.
# count	lemma	cap_ratio	reason
9818	manny	0.999	cap_ratio=1.00, oov
9789	ministério	0.874	cap_ratio=0.87
9786	diego	0.998	cap_ratio=1.00
9730	stefan	1.000	cap_ratio=1.00, oov
9671	lord	0.955	cap_ratio=0.96
9668	cameron	1.000	cap_ratio=1.00, oov
9663	seth	0.999	cap_ratio=1.00, oov
9614	ana	0.973	cap_ratio=0.97
9607	lana	0.998	cap_ratio=1.00, oov
9591	gabriel	0.984	cap_ratio=0.98
9587	iraque	0.999	cap_ratio=1.00
9537	riley	1.000	cap_ratio=1.00, oov
9491	megan	1.000	cap_ratio=1.00, oov
9446	bishop	1.000	cap_ratio=1.00, oov
9439	mna	0.999	cap_ratio=1.00, oov
9410	katherine	0.999	cap_ratio=1.00, oov
9409	manhattan	0.999	cap_ratio=1.00, oov
9383	holly	0.993	cap_ratio=0.99, oov
9368	ashley	0.990	cap_ratio=0.99, oov
9341	nicole	0.999	cap_ratio=1.00, oov
9336	dana	0.995	cap_ratio=1.00
9329	sandy	1.000	cap_ratio=1.00, oov
9296	mia	0.881	cap_ratio=0.88
9281	little	0.911	cap_ratio=0.91, oov
9280	victoria	0.991	cap_ratio=0.99
9263	maya	0.991	cap_ratio=0.99, oov
9170	ford	0.997	cap_ratio=1.00
9161	jill	0.994	cap_ratio=0.99, oov
9145	angel	0.987	cap_ratio=0.99, oov
9136	palmer	0.998	cap_ratio=1.00
9131	elliot	0.992	cap_ratio=0.99, oov
9128	potter	0.999	cap_ratio=1.00
9126	kenny	0.998	cap_ratio=1.00, oov
9112	marte	0.992	cap_ratio=0.99
9087	griffin	1.000	cap_ratio=1.00, oov
9063	outubro	0.853	cap_ratio=0.85
9063	tracy	0.999	cap_ratio=1.00
9061	harris	0.999	cap_ratio=1.00, oov
9060	kong	0.995	cap_ratio=1.00
9045	kent	0.995	cap_ratio=1.00, oov
9027	turner	0.998	cap_ratio=1.00
8995	collins	1.000	cap_ratio=1.00
8966	curtis	0.998	cap_ratio=1.00
8963	wendy	0.999	cap_ratio=1.00, oov
8956	lane	0.995	cap_ratio=1.00, oov
8948	sid	0.991	cap_ratio=0.99, oov
8945	chase	0.999	cap_ratio=1.00, oov
8931	mitchell	1.000	cap_ratio=1.00, oov
8930	blair	0.984	cap_ratio=0.98, oov
8926	moscovo	0.999	cap_ratio=1.00
8922	brooklyn	0.997	cap_ratio=1.00
8915	gus	0.998	cap_ratio=1.00, oov
8904	stone	0.994	cap_ratio=0.99, oov
8883	duke	0.998	cap_ratio=1.00
8873	ellie	1.000	cap_ratio=1.00, oov
8872	willie	0.996	cap_ratio=1.00, oov
8832	miguel	0.997	cap_ratio=1.00
8831	grey	0.998	cap_ratio=1.00, oov
8827	wallace	0.978	cap_ratio=0.98, oov
8823	jersey	0.997	cap_ratio=1.00
8808	warren	1.000	cap_ratio=1.00, oov
8795	eli	0.993	cap_ratio=0.99, oov
8784	audrey	1.000	cap_ratio=1.00, oov
8780	neil	0.991	cap_ratio=0.99
8769	liz	0.998	cap_ratio=1.00, oov
8768	carson	0.999	cap_ratio=1.00, oov
8736	meg	0.998	cap_ratio=1.00, oov
8699	island	0.989	cap_ratio=0.99, oov
8689	barbara	0.998	cap_ratio=1.00
8664	monica	0.999	cap_ratio=1.00, oov
8636	neal	1.000	cap_ratio=1.00, oov
8632	sebastian	0.998	cap_ratio=1.00, oov
8607	allen	0.999	cap_ratio=1.00
8604	christine	1.000	cap_ratio=1.00, oov
8601	houston	1.000	cap_ratio=1.00, oov
8601	julian	0.999	cap_ratio=1.00
8596	serena	0.925	cap_ratio=0.93
8594	natalie	0.977	cap_ratio=0.98, oov
8594	rita	0.999	cap_ratio=1.00
8592	noah	0.999	cap_ratio=1.00, oov
8562	ken	0.994	cap_ratio=0.99, oov
8556	nelson	0.996	cap_ratio=1.00
8551	stanley	0.997	cap_ratio=1.00
8546	gina	0.994	cap_ratio=0.99, oov
8543	paige	1.000	cap_ratio=1.00, oov
8531	gloria	0.954	cap_ratio=0.95
8530	may	0.970	cap_ratio=0.97, oov
8515	heather	0.999	cap_ratio=1.00, oov
8511	pam	0.980	cap_ratio=0.98, oov
8483	cal	0.892	cap_ratio=0.89
8483	pedro	0.997	cap_ratio=1.00
8449	burke	0.999	cap_ratio=1.00, oov
8449	tina	0.910	cap_ratio=0.91
8447	spencer	0.999	cap_ratio=1.00
8421	vanessa	0.996	cap_ratio=1.00
8400	benjamin	0.999	cap_ratio=1.00
8362	phillip	0.998	cap_ratio=1.00, oov
8338	monroe	1.000	cap_ratio=1.00
8332	star	0.946	cap_ratio=0.95, oov
8310	nicky	0.999	cap_ratio=1.00, oov
8308	watson	0.999	cap_ratio=1.00
8307	hal	0.998	cap_ratio=1.00, oov
8305	mikey	0.996	cap_ratio=1.00, oov
8290	fox	0.989	cap_ratio=0.99, oov
8290	karl	0.997	cap_ratio=1.00
8273	samantha	0.999	cap_ratio=1.00, oov
8271	scully	1.000	cap_ratio=1.00, oov
8264	brennan	1.000	cap_ratio=1.00, oov
8257	canadá	0.998	cap_ratio=1.00
8256	reed	0.999	cap_ratio=1.00, oov
8235	keith	0.997	cap_ratio=1.00, oov
8234	rob	0.995	cap_ratio=1.00, oov
8226	hector	1.000	cap_ratio=1.00, oov
8210	ann	0.998	cap_ratio=1.00, oov
8175	afeganistão	0.997	cap_ratio=1.00
8149	caleb	1.000	cap_ratio=1.00, oov
8143	harrison	1.000	cap_ratio=1.00, oov
8131	franklin	0.996	cap_ratio=1.00
8128	gps	0.995	cap_ratio=0.99
8120	liam	0.967	cap_ratio=0.97
8112	harvard	0.999	cap_ratio=1.00
8101	cam	0.985	cap_ratio=0.99
8078	philip	0.994	cap_ratio=0.99, oov
8068	klaus	0.999	cap_ratio=1.00, oov
8056	seattle	0.994	cap_ratio=0.99
8050	ari	0.998	cap_ratio=1.00, oov
8015	meredith	1.000	cap_ratio=1.00, oov
7997	sonny	0.999	cap_ratio=1.00, oov
7983	bella	0.950	cap_ratio=0.95, oov
7980	batman	0.997	cap_ratio=1.00, oov
7967	freddy	1.000	cap_ratio=1.00, oov
7941	debbie	0.998	cap_ratio=1.00, oov
7929	oriente	0.881	cap_ratio=0.88
7927	anderson	1.000	cap_ratio=1.00, oov
7914	nicholas	0.996	cap_ratio=1.00, oov
7910	spartacus	1.000	cap_ratio=1.00, oov
7886	miranda	1.000	cap_ratio=1.00
7879	randall	1.000	cap_ratio=1.00, oov
7871	bo	0.966	cap_ratio=0.97, oov
7865	ralph	0.998	cap_ratio=1.00, oov
7857	finn	1.000	cap_ratio=1.00, oov
7849	leon	0.998	cap_ratio=1.00, oov
7847	hong	0.997	cap_ratio=1.00
7831	kirk	0.998	cap_ratio=1.00, oov
7811	lawrence	1.000	cap_ratio=1.00
7807	clarke	0.999	cap_ratio=1.00, oov
7800	deb	0.999	cap_ratio=1.00, oov
7795	trevor	0.998	cap_ratio=1.00, oov
7787	saul	0.999	cap_ratio=1.00, oov
7765	alison	0.999	cap_ratio=1.00, oov
7764	hope	0.978	cap_ratio=0.98, oov
7758	reese	1.000	cap_ratio=1.00, oov
7755	finch	0.998	cap_ratio=1.00, oov
7749	rosie	1.000	cap_ratio=1.00, oov
7748	fiona	0.999	cap_ratio=1.00, oov
7724	donald	0.992	cap_ratio=0.99, oov
7703	marge	1.000	cap_ratio=1.00, oov
7700	pablo	0.997	cap_ratio=1.00, oov
7699	benny	1.000	cap_ratio=1.00, oov
7691	us	0.879	cap_ratio=0.88, oov
7662	cody	1.000	cap_ratio=1.00, oov
7647	vic	0.998	cap_ratio=1.00, oov
7646	brody	1.000	cap_ratio=1.00, oov
7629	wade	0.999	cap_ratio=1.00, oov
7620	ruth	1.000	cap_ratio=1.00
7615	delta	0.853	cap_ratio=0.85
7588	vietname	0.998	cap_ratio=1.00
7579	percy	1.000	cap_ratio=1.00, oov
7551	lloyd	1.000	cap_ratio=1.00, oov
7505	lester	0.999	cap_ratio=1.00, oov
7466	egito	1.000	cap_ratio=1.00
7419	phoebe	1.000	cap_ratio=1.00, oov
7414	mick	0.998	cap_ratio=1.00, oov
7412	frodo	1.000	cap_ratio=1.00, oov
7373	craig	0.998	cap_ratio=1.00, oov
7371	iá	0.979	cap_ratio=0.98, oov
7346	cylon	0.970	cap_ratio=0.97, oov
7320	w	0.950	cap_ratio=0.95, oov
7317	rocky	0.994	cap_ratio=0.99, oov
7291	christian	1.000	cap_ratio=1.00
7291	cindy	0.998	cap_ratio=1.00, oov
7278	joão	0.994	cap_ratio=0.99
7272	sue	0.981	cap_ratio=0.98
7234	rex	0.986	cap_ratio=0.99, oov
7225	kennedy	0.996	cap_ratio=1.00
7225	spock	0.999	cap_ratio=1.00, oov
7223	patty	0.998	cap_ratio=1.00, oov
7220	flynn	1.000	cap_ratio=1.00, oov
7210	angie	1.000	cap_ratio=1.00, oov
7196	oscar	0.995	cap_ratio=1.00, oov
7150	isaac	1.000	cap_ratio=1.00
7141	april	0.998	cap_ratio=1.00, oov
7129	graham	0.999	cap_ratio=1.00, oov
7126	israel	0.996	cap_ratio=1.00
7117	virginia	0.996	cap_ratio=1.00, oov
7114	bell	0.985	cap_ratio=0.98, oov
7104	helena	0.994	cap_ratio=0.99
7087	jenna	0.996	cap_ratio=1.00, oov
7081	janet	1.000	cap_ratio=1.00
7053	guy	0.956	cap_ratio=0.96, oov
7049	hanna	1.000	cap_ratio=1.00, oov
7039	richie	1.000	cap_ratio=1.00, oov
7031	super-homem	0.924	cap_ratio=0.92, oov
7018	judy	0.997	cap_ratio=1.00, oov
7018	thompson	1.000	cap_ratio=1.00
6986	violet	0.995	cap_ratio=0.99, oov
6978	sherlock	0.998	cap_ratio=1.00, oov
6977	isabel	0.999	cap_ratio=1.00
6965	jo	0.990	cap_ratio=0.99, oov
6950	porter	0.992	cap_ratio=0.99, oov
6948	kane	0.996	cap_ratio=1.00, oov
6944	enterprise	0.999	cap_ratio=1.00, oov
6938	harper	0.998	cap_ratio=1.00, oov
6930	zack	0.999	cap_ratio=1.00, oov
6917	christopher	1.000	cap_ratio=1.00
6910	ham	0.880	cap_ratio=0.88, oov
6909	filadélfia	0.996	cap_ratio=1.00
6909	jules	0.997	cap_ratio=1.00
6908	dallas	0.998	cap_ratio=1.00, oov
6902	melissa	0.998	cap_ratio=1.00, oov
6898	lenny	0.999	cap_ratio=1.00, oov
6896	merlin	0.979	cap_ratio=0.98, oov
6879	baker	1.000	cap_ratio=1.00
6878	juan	0.996	cap_ratio=1.00
