# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# Truncated to entries with >= 100 occurrences: 181 of 6,651. The full list is written next to
# this file as *_full.txt and is not committed.
# count	lemma	cap_ratio	reason
#	legal	bp_exclusion
#	mano	bp_exclusion
#	massa	bp_exclusion
#	né	bp_exclusion
#	oi	bp_exclusion
#	onibus	bp_exclusion
#	trem	bp_exclusion
#	você	bp_exclusion
#	xícara	bp_exclusion
#	ônibus	bp_exclusion
#
# Foreign-word filter (English plurals):
#	281	chris	english_plural
#	268	miss	english_plural
#	151	lois	english_plural
