# Lemmas filtered out by the proper-noun/OOV heuristic.
# Sorted desc by raw count -- review to rescue any false positives.
# count	lemma	cap_ratio	reason
8937	chase	0.999	cap_ratio=1.00, oov
8931	mitchell	1.000	cap_ratio=1.00, oov
8930	blair	0.984	cap_ratio=0.98, oov
8915	gus	0.998	cap_ratio=1.00, oov
8912	griffin	1.000	cap_ratio=1.00, oov
8874	angel	0.987	cap_ratio=0.99, oov
8868	ellie	1.000	cap_ratio=1.00, oov
8868	lane	0.995	cap_ratio=1.00, oov
8862	willie	0.996	cap_ratio=1.00, oov
8804	wallace	0.978	cap_ratio=0.98, oov
8787	warren	1.000	cap_ratio=1.00, oov
8781	audrey	1.000	cap_ratio=1.00, oov
8768	liz	0.998	cap_ratio=1.00, oov
8753	eli	0.993	cap_ratio=0.99, oov
8707	carson	0.999	cap_ratio=1.00, oov
8636	neal	1.000	cap_ratio=1.00, oov
8627	island	0.989	cap_ratio=0.99, oov
8624	grey	0.998	cap_ratio=1.00, oov
8604	christine	1.000	cap_ratio=1.00, oov
8601	houston	1.000	cap_ratio=1.00, oov
8598	meg	0.998	cap_ratio=1.00, oov
8592	noah	0.999	cap_ratio=1.00, oov
8573	natalie	0.977	cap_ratio=0.98, oov
8543	paige	1.000	cap_ratio=1.00, oov
8530	gina	0.994	cap_ratio=0.99, oov
8523	sebastian	0.998	cap_ratio=1.00, oov
8515	heather	0.999	cap_ratio=1.00, oov
8485	pam	0.980	cap_ratio=0.98, oov
8449	monica	0.999	cap_ratio=1.00, oov
8349	burke	0.999	cap_ratio=1.00, oov
8323	star	0.946	cap_ratio=0.95, oov
8309	nicky	0.999	cap_ratio=1.00, oov
8305	hal	0.998	cap_ratio=1.00, oov
8304	mikey	0.996	cap_ratio=1.00, oov
8290	fox	0.989	cap_ratio=0.99, oov
8273	samantha	0.999	cap_ratio=1.00, oov
8265	scully	1.000	cap_ratio=1.00, oov
8242	brennan	1.000	cap_ratio=1.00, oov
8216	keith	0.997	cap_ratio=1.00, oov
8213	reed	0.999	cap_ratio=1.00, oov
8206	ann	0.998	cap_ratio=1.00, oov
8180	rob	0.995	cap_ratio=1.00, oov
8148	caleb	1.000	cap_ratio=1.00, oov
8138	ken	0.994	cap_ratio=0.99, oov
8127	harrison	1.000	cap_ratio=1.00, oov
8064	klaus	0.999	cap_ratio=1.00, oov
8035	gibbs	1.000	cap_ratio=1.00, oov
8013	meredith	1.000	cap_ratio=1.00, oov
7997	sonny	0.999	cap_ratio=1.00, oov
7978	batman	0.997	cap_ratio=1.00, oov
7966	freddy	1.000	cap_ratio=1.00, oov
7964	stone	0.994	cap_ratio=0.99, oov
7933	debbie	0.998	cap_ratio=1.00, oov
7910	spartacus	1.000	cap_ratio=1.00, oov
7907	hector	1.000	cap_ratio=1.00, oov
7896	nicholas	0.996	cap_ratio=1.00, oov
7895	blue	0.960	cap_ratio=0.96, oov
7879	randall	1.000	cap_ratio=1.00, oov
7858	anderson	1.000	cap_ratio=1.00, oov
7850	finn	1.000	cap_ratio=1.00, oov
7850	times	0.973	cap_ratio=0.97, oov
7809	kirk	0.998	cap_ratio=1.00, oov
