#separator:tab
#html:false
#notetype:Portuguese (EP) – Spoken Frequency
#deck:Portuguese::European Portuguese - Spoken - 5001 to 10000
#columns:Rank	Lemma_PT	POS_guess	Is_MWE	Raw_Freq	Freq_per_million	Tags
#tags column:7
5057	douglas	unk	0	5278	8.459	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5058	fatiar	verb	0	5276	8.456	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5059	passarinhar	verb	0	5276	8.456	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5060	necessariamente	adv	0	5275	8.455	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adv source::opensubtitles_ep_v2018 variety::EP register::spoken
5061	judicial	adj	0	5275	8.455	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5062	hastings	unk	0	5274	8.453	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5063	abordagem	noun	0	5274	8.453	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5064	jerusalém	unk	0	5273	8.451	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5065	administrar	verb	0	5273	8.451	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5066	cruzado	noun	0	5272	8.450	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5067	aborto	noun	0	5269	8.445	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5068	improvável	adj	0	5268	8.443	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5069	xixi	unk	0	5267	8.442	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5070	modesto	noun	0	5265	8.439	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5071	ofendido	noun	0	5264	8.437	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5072	anca	noun	0	5264	8.437	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5073	ranger	verb	0	5263	8.435	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5074	jr	unk	0	5262	8.434	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5075	robinson	unk	0	5261	8.432	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5076	gata	noun	0	5261	8.432	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5077	adormecido	noun	0	5258	8.427	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5078	aberta	noun	0	5257	8.426	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5079	içar	verb	0	5256	8.424	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5080	ellis	unk	0	5255	8.423	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5081	cunhar	verb	0	5253	8.419	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5082	devorar	verb	0	5253	8.419	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5083	carroçar	verb	0	5248	8.411	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5084	atlanta	noun	0	5247	8.410	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5085	dixon	unk	0	5243	8.403	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
5086	silver	verb	0	5243	8.403	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5087	bailarino	adj	0	5241	8.400	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::adj source::opensubtitles_ep_v2018 variety::EP register::spoken
5088	maldade	noun	0	5240	8.399	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::noun source::opensubtitles_ep_v2018 variety::EP register::spoken
5089	fracassar	verb	0	5238	8.395	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5090	apunhalar	verb	0	5238	8.395	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::verb source::opensubtitles_ep_v2018 variety::EP register::spoken
5091	ya	unk	0	5234	8.389	freq::5001-5500 freq500::5001-5500 freq1000::5001-6000 pos::unk source::opensubtitles_ep_v2018 variety::EP register::spoken
